text,category
"My front door lock is broken and won't latch properly, anyone could just push it open.",Security
The internet is extremely slow and videos keep buffering nonstop.,Internet
"I can see an exposed electrical wire hanging near the kitchen ceiling, it looks dangerous.",Electrical
There is mold growing in the bedroom corner near the window.,Cleaning
The lobby floor has been dirty and sticky for days now.,Cleaning
The dryer is not heating up so my clothes stay wet after a full cycle.,Appliance
"The security camera in the lobby has been pointed at the wall for a week, seems broken.",Security
There is constant shouting and loud parties coming from the unit next door.,Noise
The stove burners won't light no matter how many times I try.,Appliance
The shower in my bathroom has almost no water pressure anymore.,Plumbing
The kitchen drain is completely clogged and water won't go down at all.,Plumbing
My air conditioner in the living room is blowing warm air instead of cold.,Heating/Cooling
The hallway trash has not been collected in over a week and it's starting to smell.,Cleaning
There is a large crack running across my bedroom wall that seems to be getting bigger.,Structural
The outlet in my living room is not working and the switch feels warm to touch.,Electrical
"The router in the hallway seems to be broken, none of the lights are on.",Internet
The floor tiles in my kitchen are cracked and coming loose.,Structural
My air conditioner in the bathroom is blowing warm air instead of cold.,Heating/Cooling
"My internet connection keeps dropping every few minutes, very frustrating for work calls.",Internet
The kitchen sink is blocked and dirty water is pooling in it.,Plumbing
"My bathroom window is broken and won't close, letting in cold air and rain.",Structural
The washing machine in the laundry room is leaking water everywhere.,Appliance
"There is smoke coming from the electrical socket in my living room, it smells like burning.",Electrical
The doorbell has not been working for weeks now.,Maintenance
"There is a slow drip coming from under the bedroom sink, it's been going on for two days.",Plumbing
The faucet in my bathroom won't turn off and keeps running.,Plumbing
"My bedroom window is broken and won't close, letting in cold air and rain.",Structural
The key card for my building entrance stopped working since yesterday.,Security
The key card for my building entrance stopped working since yesterday.,Security
"I found cockroaches in my kitchen again, this is the third time this month.",Cleaning
The hallway trash has not been collected in over a week and it's starting to smell.,Cleaning
The doorbell has not been working for weeks now.,Maintenance
"I found cockroaches in my kitchen again, this is the third time this month.",Cleaning
"My living room window is broken and won't close, letting in cold air and rain.",Structural
"I found cockroaches in my kitchen again, this is the third time this month.",Cleaning
The hallway trash has not been collected in over a week and it's starting to smell.,Cleaning
"There is smoke coming from the electrical socket in my bedroom, it smells like burning.",Electrical
"There are mice in my kitchen, I can hear them scratching at night.",Cleaning
"There are mice in my living room, I can hear them scratching at night.",Cleaning
My air conditioner in the kitchen is blowing warm air instead of cold.,Heating/Cooling
Part of the ceiling in my bedroom looks like it's sagging and could collapse.,Structural
The Wi-Fi has been down since yesterday and I can't get any internet connection at all.,Internet
My toilet in the bathroom keeps backing up whenever I flush it.,Plumbing
"The router in the hallway seems to be broken, none of the lights are on.",Internet
The internet is extremely slow and videos keep buffering nonstop.,Internet
Water is leaking from the pipe behind the bathroom wall and it's starting to smell musty.,Plumbing
"The router in the hallway seems to be broken, none of the lights are on.",Internet
The washing machine in the laundry room is leaking water everywhere.,Appliance
"There is a lot of noise coming from the living room above mine every night, hard to sleep.",Noise
"I found scratch marks around my front door lock this morning, it looks like a forced entry attempt.",Security
The shower in my kitchen has almost no water pressure anymore.,Plumbing
"Someone tried to enter my apartment at night, I heard the door handle being forced.",Security
My refrigerator stopped cooling and all my food is starting to spoil.,Appliance
I have had no electricity in half my apartment since yesterday evening.,Electrical
"My front door lock is broken and won't latch properly, anyone could just push it open.",Security
The power keeps tripping in my bathroom every time I turn on the microwave.,Electrical
"My front door lock is broken and won't latch properly, anyone could just push it open.",Security
"There is a lot of noise coming from the bedroom above mine every night, hard to sleep.",Noise
The washing machine in the laundry room is leaking water everywhere.,Appliance
There is a large crack running across my living room wall that seems to be getting bigger.,Structural
The kitchen sink is blocked and dirty water is pooling in it.,Plumbing
Part of the ceiling in my bathroom looks like it's sagging and could collapse.,Structural
My air conditioner in the bedroom is blowing warm air instead of cold.,Heating/Cooling
"My internet connection keeps dropping every few minutes, very frustrating for work calls.",Internet
There were sparks coming out of the outlet in the kitchen when I plugged in my charger.,Electrical
The heater in my bathroom stopped working and it's freezing in here.,Heating/Cooling
The bathroom drain is completely clogged and water won't go down at all.,Plumbing
"There is smoke coming from the electrical socket in my bathroom, it smells like burning.",Electrical
"My front door lock is broken and won't latch properly, anyone could just push it open.",Security
"My internet connection keeps dropping every few minutes, very frustrating for work calls.",Internet
The AC is not cooling at all even though it's running constantly.,Heating/Cooling
My toilet in the bedroom keeps backing up whenever I flush it.,Plumbing
The key card for my building entrance stopped working since yesterday.,Security
The faucet in my living room won't turn off and keeps running.,Plumbing
There is mold growing in the bathroom corner near the window.,Cleaning
"There is a lot of noise coming from the bathroom above mine every night, hard to sleep.",Noise
Water is leaking from the pipe behind the living room wall and it's starting to smell musty.,Plumbing
The light in my living room keeps flickering constantly and won't stay on.,Electrical
"I found scratch marks around my front door lock this morning, it looks like a forced entry attempt.",Security
"I found scratch marks around my front door lock this morning, it looks like a forced entry attempt.",Security
The kitchen sink is blocked and dirty water is pooling in it.,Plumbing
The key card for my building entrance stopped working since yesterday.,Security
Part of the ceiling in my living room looks like it's sagging and could collapse.,Structural
The floor tiles in my living room are cracked and coming loose.,Structural
"Someone tried to enter my apartment at night, I heard the door handle being forced.",Security
Part of the ceiling in my kitchen looks like it's sagging and could collapse.,Structural
There has been no water coming out of any tap in my unit since this morning.,Plumbing
The dryer is not heating up so my clothes stay wet after a full cycle.,Appliance
"Someone tried to enter my apartment at night, I heard the door handle being forced.",Security
"My kitchen window is broken and won't close, letting in cold air and rain.",Structural
The power keeps tripping in my bedroom every time I turn on the microwave.,Electrical
The water has been leaking from the ceiling in my bathroom since last night and the floor is getting wet.,Plumbing
The Wi-Fi has been down since yesterday and I can't get any internet connection at all.,Internet
The heater in my kitchen stopped working and it's freezing in here.,Heating/Cooling
There is constant shouting and loud parties coming from the unit next door.,Noise
There were sparks coming out of the outlet in the bedroom when I plugged in my charger.,Electrical
"The security camera in the lobby has been pointed at the wall for a week, seems broken.",Security
The floor tiles in my bathroom are cracked and coming loose.,Structural
The dryer is not heating up so my clothes stay wet after a full cycle.,Appliance
"There is smoke coming from the electrical socket in my kitchen, it smells like burning.",Electrical
The AC is not cooling at all even though it's running constantly.,Heating/Cooling
The doorbell has not been working for weeks now.,Maintenance
The thermostat display is blank and I can't control the temperature anymore.,Heating/Cooling
"I found cockroaches in my kitchen again, this is the third time this month.",Cleaning
There were sparks coming out of the outlet in the living room when I plugged in my charger.,Electrical
"I can see an exposed electrical wire hanging near the living room ceiling, it looks dangerous.",Electrical
My toilet in the living room keeps backing up whenever I flush it.,Plumbing
"There is a slow drip coming from under the living room sink, it's been going on for two days.",Plumbing
Water is leaking from the pipe behind the bedroom wall and it's starting to smell musty.,Plumbing
My neighbor has extremely loud music every night and it goes on past midnight.,Noise
The heater in my living room stopped working and it's freezing in here.,Heating/Cooling
My toilet in the kitchen keeps backing up whenever I flush it.,Plumbing
There is mold growing in the living room corner near the window.,Cleaning
There is a large crack running across my bathroom wall that seems to be getting bigger.,Structural
The kitchen sink is blocked and dirty water is pooling in it.,Plumbing
The shower in my living room has almost no water pressure anymore.,Plumbing
There were sparks coming out of the outlet in the bathroom when I plugged in my charger.,Electrical
The outlet in my kitchen is not working and the switch feels warm to touch.,Electrical
The Wi-Fi has been down since yesterday and I can't get any internet connection at all.,Internet
The cabinet door in my bathroom fell off its hinges and needs repair.,Maintenance
"There is a slow drip coming from under the kitchen sink, it's been going on for two days.",Plumbing
The faucet in my bedroom won't turn off and keeps running.,Plumbing
The washing machine in the laundry room is leaking water everywhere.,Appliance
